archetype,worker,handle,label,time,type
0,0,,"worker_started",17552066719300,0
0,0,0,"Simulated Job (13ms)",17552066726200,4
0,0,0,"Simulated Job (13ms)",17552087747800,5
0,0,24,"Simulated Job (11ms)",17552087760300,4
0,0,24,"Simulated Job (11ms)",17552102758100,5
0,0,48,"Simulated Job (14ms)",17552102768000,4
0,0,48,"Simulated Job (14ms)",17552118921100,5
0,0,72,"Simulated Job (20ms)",17552118927400,4
0,0,72,"Simulated Job (20ms)",17552149934900,5
0,0,96,"Simulated Job (16ms)",17552149943100,4
0,0,96,"Simulated Job (16ms)",17552181039000,5
0,0,120,"Simulated Job (10ms)",17552181046900,4
0,0,120,"Simulated Job (10ms)",17552196720100,5
0,0,144,"Simulated Job (19ms)",17552196728000,4
0,0,144,"Simulated Job (19ms)",17552227663500,5
0,0,168,"Simulated Job (14ms)",17552227669500,4
0,0,168,"Simulated Job (14ms)",17552242661700,5
0,0,,"worker_sleeping",17552242671300,2
0,0,,"worker_awake",17552274301500,3
0,0,,"worker_exited",17552274305600,1
0,1,,"worker_started",17552066861600,0
0,1,1,"Simulated Job (10ms)",17552066867500,4
0,1,1,"Simulated Job (10ms)",17552087855100,5
0,1,25,"Simulated Job (9ms)",17552087865500,4
0,1,25,"Simulated Job (9ms)",17552102913100,5
0,1,49,"Simulated Job (17ms)",17552102917100,4
0,1,49,"Simulated Job (17ms)",17552134554700,5
0,1,73,"Simulated Job (15ms)",17552134561800,4
0,1,73,"Simulated Job (15ms)",17552149977600,5
0,1,97,"Simulated Job (1ms)",17552149988700,4
0,1,97,"Simulated Job (1ms)",17552165567700,5
0,1,121,"Simulated Job (9ms)",17552165573100,4
0,1,121,"Simulated Job (9ms)",17552181251400,5
0,1,145,"Simulated Job (4ms)",17552181254600,4
0,1,145,"Simulated Job (4ms)",17552196576000,5
0,1,169,"Simulated Job (18ms)",17552196592500,4
0,1,169,"Simulated Job (18ms)",17552227593300,5
0,1,,"worker_sleeping",17552227597100,2
0,1,,"worker_awake",17552274310300,3
0,1,,"worker_exited",17552274317500,1
0,2,,"worker_started",17552067007100,0
0,2,2,"Simulated Job (3ms)",17552067013300,4
0,2,2,"Simulated Job (3ms)",17552071622800,5
0,2,26,"Simulated Job (16ms)",17552071630600,4
