archetype,worker,handle,label,time,type
0,0,,"worker_started",17552691841500,0
0,0,0,"Simulated Job (16ms)",17552691847600,4
0,0,0,"Simulated Job (16ms)",17552713656800,5
0,0,24,"Simulated Job (13ms)",17552713660500,4
0,0,24,"Simulated Job (13ms)",17552729320100,5
0,0,48,"Simulated Job (3ms)",17552729325300,4
0,0,48,"Simulated Job (3ms)",17552744672600,5
0,0,72,"Simulated Job (15ms)",17552744681800,4
0,0,72,"Simulated Job (15ms)",17552760498800,5
0,0,96,"Simulated Job (14ms)",17552760501800,4
0,0,96,"Simulated Job (14ms)",17552776475200,5
0,0,120,"Simulated Job (20ms)",17552776480900,4
0,0,120,"Simulated Job (20ms)",17552807279700,5
0,0,144,"Simulated Job (4ms)",17552807287100,4
0,0,144,"Simulated Job (4ms)",17552822311400,5
0,0,168,"Simulated Job (7ms)",17552822314800,4
0,0,168,"Simulated Job (7ms)",17552837385500,5
0,0,,"worker_sleeping",17552837388100,2
0,0,,"worker_awake",17552901164600,3
0,0,,"worker_exited",17552901168900,1
0,1,,"worker_started",17552692002400,0
0,1,1,"Simulated Job (16ms)",17552692008500,4
0,1,1,"Simulated Job (16ms)",17552713646100,5
0,1,25,"Simulated Job (13ms)",17552713650000,4
0,1,25,"Simulated Job (13ms)",17552729204400,5
0,1,49,"Simulated Job (17ms)",17552729213500,4
0,1,49,"Simulated Job (17ms)",17552760285900,5
0,1,73,"Simulated Job (6ms)",17552760307900,4
0,1,73,"Simulated Job (6ms)",17552776382100,5
0,1,97,"Simulated Job (16ms)",17552776390900,4
0,1,97,"Simulated Job (16ms)",17552807410800,5
0,1,121,"Simulated Job (19ms)",17552807414900,4
0,1,121,"Simulated Job (19ms)",17552837359000,5
0,1,145,"Simulated Job (10ms)",17552837370400,4
0,1,145,"Simulated Job (10ms)",17552853437200,5
0,1,169,"Simulated Job (9ms)",17552853441100,4
0,1,169,"Simulated Job (9ms)",17552869456500,5
0,1,,"worker_sleeping",17552869461100,2
0,1,,"worker_awake",17552901165900,3
0,1,,"worker_exited",17552901169900,1
0,2,,"worker_started",17552692143000,0
0,2,2,"Simulated Job (15ms)",17552692148400,4
0,2,2,"Simulated Job (15ms)",17552713605500,5
0,2,26,"Simulated Job (3ms)",17552713609900,4
0,2,26,"Simulated Job (3ms)",17552729220700,5
0,2,50,"Simulated Job (1ms)",17552729229200,4
0,2,50,"Simulated Job (1ms)",17552744822300,5
0,2,74,"Simulated Job (3ms)",17552744828500,4
0,2,74,"Simulated Job (3ms)",17552760364600,5
0,2,98,"Simulated Job (18ms)",17552760371400,4
0,2,98,"Simulated Job (18ms)",17552791985000,5
0,2,122,"Simulated Job (20ms)",17552791996100,4
0,2,122,"Simulated Job (20ms)",17552822190400,5
0,2,146,"Simulated Job (7ms)",17552822201100,4
0,2,146,"Simulated Job (7ms)",17552837502600,5
0,2,170,"Simulated Job (7ms)",17552837505700,4
0,2,170,"Simulated Job (7ms)",17552853425600,5
0,2,,"worker_sleeping",17552853430600,2
0,2,,"worker_awake",17552901167200,3
0,2,,"worker_exited",17552901171900,1
0,3,,"worker_started",17552692288800,0
0,3,3,"Simulated Job (12ms)",17552692294100,4
0,3,3,"Simulated Job (12ms)",17552713455600,5
0,3,27,"Simulated Job (13ms)",17552713463200,4
0,3,27,"Simulated Job (13ms)",17552729282600,5
0,3,51,"Simulated Job (19ms)",17552729290600,4
0,3,51,"Simulated Job (19ms)",17552760301800,5
0,3,75,"Simulated Job (9ms)",17552760330600,4
0,3,75,"Simulated Job (9ms)",17552776378400,5
0,3,99,"Simulated Job (12ms)",17552776390200,4
0,3,99,"Simulated Job (12ms)",17552792175800,5
0,3,123,"Simulated Job (7ms)",17552792179200,4
0,3,123,"Simulated Job (7ms)",17552807434800,5
0,3,147,"Simulated Job (12ms)",17552807438600,4
0,3,147,"Simulated Job (12ms)",17552822320800,5
0,3,171,"Simulated Job (10ms)",17552822323900,4
0,3,171,"Simulated Job (10ms)",17552837303400,5
0,3,,"worker_sleeping",17552837310100,2
0,3,,"worker_awake",17552901180600,3
0,3,,"worker_exited",17552901189200,1
0,4,,"worker_started",17552692422200,0
0,4,4,"Simulated Job (4ms)",17552692425500,4
0,4,4,"Simulated Job (4ms)",17552697895000,5
0,4,28,"Simulated Job (15ms)",17552697901100,4
0,4,28,"Simulated Job (15ms)",17552713478500,5
0,4,52,"Simulated Job (20ms)",17552713497800,4
0,4,52,"Simulated Job (20ms)",17552744783000,5
0,4,76,"Simulated Job (9ms)",17552744791800,4
0,4,76,"Simulated Job (9ms)",17552760519300,5
0,4,100,"Simulated Job (13ms)",17552760522600,4
0,4,100,"Simulated Job (13ms)",17552776421100,5
0,4,124,"Simulated Job (16ms)",17552776424600,4
0,4,124,"Simulated Job (16ms)",17552807246100,5
0,4,148,"Simulated Job (4ms)",17552807254000,4
0,4,148,"Simulated Job (4ms)",17552822250100,5
0,4,172,"Simulated Job (5ms)",17552822255300,4
0,4,172,"Simulated Job (5ms)",17552837493600,5
0,4,,"worker_sleeping",17552837495900,2
0,4,,"worker_awake",17552901181300,3
0,4,,"worker_exited",17552901188600,1
0,5,,"worker_started",17552692560600,0
0,5,5,"Simulated Job (6ms)",17552692565100,4
0,5,5,"Simulated Job (6ms)",17552713363900,5
0,5,29,"Simulated Job (20ms)",17552713373300,4
0,5,29,"Simulated Job (20ms)",17552744662400,5
0,5,53,"Simulated Job (15ms)",17552744672400,4
0,5,53,"Simulated Job (15ms)",17552760409800,5
0,5,77,"Simulated Job (12ms)",17552760418000,4
0,5,77,"Simulated Job (12ms)",17552776522300,5
0,5,101,"Simulated Job (7ms)",17552776528000,4
0,5,101,"Simulated Job (7ms)",17552792275800,5
0,5,125,"Simulated Job (19ms)",17552792279500,4
0,5,125,"Simulated Job (19ms)",17552822223600,5
0,5,149,"Simulated Job (8ms)",17552822233300,4
0,5,149,"Simulated Job (8ms)",17552837324300,5
0,5,173,"Simulated Job (6ms)",17552837332500,4
0,5,173,"Simulated Job (6ms)",17552853408100,5
0,5,,"worker_sleeping",17552853412400,2
0,5,,"worker_awake",17552901182500,3
0,5,,"worker_exited",17552901189900,1
0,6,,"worker_started",17552692727400,0
0,6,6,"Simulated Job (7ms)",17552692732700,4
0,6,6,"Simulated Job (7ms)",17552713592900,5
0,6,30,"Simulated Job (2ms)",17552713596700,4
0,6,30,"Simulated Job (2ms)",17552729089200,5
0,6,54,"Simulated Job (5ms)",17552729100700,4
0,6,54,"Simulated Job (5ms)",17552744874600,5
0,6,78,"Simulated Job (14ms)",17552744878900,4
0,6,78,"Simulated Job (14ms)",17552760509500,5
0,6,102,"Simulated Job (16ms)",17552760512600,4
0,6,102,"Simulated Job (16ms)",17552792007400,5
0,6,126,"Simulated Job (9ms)",17552792015300,4
0,6,126,"Simulated Job (9ms)",17552807260600,5
0,6,150,"Simulated Job (2ms)",17552807264900,4
0,6,150,"Simulated Job (2ms)",17552822349400,5
0,6,174,"Simulated Job (19ms)",17552822352000,4
0,6,174,"Simulated Job (19ms)",17552853453600,5
0,6,,"worker_sleeping",17552853458500,2
0,6,,"worker_awake",17552901188600,3
0,6,,"worker_exited",17552901193900,1
0,7,,"worker_started",17552692869800,0
0,7,7,"Simulated Job (11ms)",17552692873000,4
0,7,7,"Simulated Job (11ms)",17552713524100,5
0,7,31,"Simulated Job (8ms)",17552713538600,4
0,7,31,"Simulated Job (8ms)",17552729240800,5
0,7,55,"Simulated Job (6ms)",17552729248600,4
0,7,55,"Simulated Job (6ms)",17552744867300,5
0,7,79,"Simulated Job (7ms)",17552744871600,4
0,7,79,"Simulated Job (7ms)",17552760547500,5
0,7,103,"Simulated Job (11ms)",17552760550200,4
0,7,103,"Simulated Job (11ms)",17552776494000,5
0,7,127,"Simulated Job (18ms)",17552776497600,4
0,7,127,"Simulated Job (18ms)",17552807388100,5
0,7,151,"Simulated Job (6ms)",17552807393000,4
0,7,151,"Simulated Job (6ms)",17552822280400,5
0,7,175,"Simulated Job (6ms)",17552822291300,4
0,7,175,"Simulated Job (6ms)",17552837404900,5
0,7,,"worker_sleeping",17552837409500,2
0,7,,"worker_awake",17552901193700,3
0,7,,"worker_exited",17552901198900,1
0,8,,"worker_started",17552693039600,0
0,8,8,"Simulated Job (3ms)",17552693045800,4
0,8,8,"Simulated Job (3ms)",17552697882400,5
0,8,32,"Simulated Job (17ms)",17552697891500,4
0,8,32,"Simulated Job (17ms)",17552729073300,5
0,8,56,"Simulated Job (13ms)",17552729084300,4
0,8,56,"Simulated Job (13ms)",17552744760200,5
0,8,80,"Simulated Job (2ms)",17552744769900,4
0,8,80,"Simulated Job (2ms)",17552760473900,5
0,8,104,"Simulated Job (1ms)",17552760476800,4
0,8,104,"Simulated Job (1ms)",17552776505300,5
0,8,128,"Simulated Job (13ms)",17552776508700,4
0,8,128,"Simulated Job (13ms)",17552792220800,5
0,8,152,"Simulated Job (19ms)",17552792226800,4
0,8,152,"Simulated Job (19ms)",17552822304300,5
0,8,176,"Simulated Job (5ms)",17552822310800,4
0,8,176,"Simulated Job (5ms)",17552837341500,5
0,8,,"worker_sleeping",17552837348200,2
0,8,,"worker_awake",17552901213600,3
0,8,,"worker_exited",17552901225300,1
0,9,,"worker_started",17552693198600,0
0,9,9,"Simulated Job (7ms)",17552693204300,4
0,9,9,"Simulated Job (7ms)",17552713398900,5
0,9,33,"Simulated Job (9ms)",17552713416600,4
0,9,33,"Simulated Job (9ms)",17552729231600,5
0,9,57,"Simulated Job (20ms)",17552729239200,4
0,9,57,"Simulated Job (20ms)",17552760435300,5
0,9,81,"Simulated Job (7ms)",17552760442300,4
0,9,81,"Simulated Job (7ms)",17552776434500,5
0,9,105,"Simulated Job (14ms)",17552776439900,4
0,9,105,"Simulated Job (14ms)",17552792191700,5
0,9,129,"Simulated Job (9ms)",17552792197800,4
0,9,129,"Simulated Job (9ms)",17552807376700,5
0,9,153,"Simulated Job (3ms)",17552807380400,4
0,9,153,"Simulated Job (3ms)",17552822181400,5
0,9,177,"Simulated Job (7ms)",17552822189400,4
0,9,177,"Simulated Job (7ms)",17552837439800,5
0,9,,"worker_sleeping",17552837442300,2
0,9,,"worker_awake",17552901237800,3
0,9,,"worker_exited",17552901244200,1
0,10,,"worker_started",17552693398400,0
0,10,10,"Simulated Job (9ms)",17552693403600,4
0,10,10,"Simulated Job (9ms)",17552713667100,5
0,10,34,"Simulated Job (16ms)",17552713670700,4
0,10,34,"Simulated Job (16ms)",17552744703900,5
0,10,58,"Simulated Job (19ms)",17552744716100,4
0,10,58,"Simulated Job (19ms)",17552776558900,5
0,10,82,"Simulated Job (2ms)",17552776564200,4
0,10,82,"Simulated Job (2ms)",17552792118300,5
0,10,106,"Simulated Job (2ms)",17552792124200,4
0,10,106,"Simulated Job (2ms)",17552807429400,5
0,10,130,"Simulated Job (6ms)",17552807433600,4
0,10,130,"Simulated Job (6ms)",17552822273500,5
0,10,154,"Simulated Job (3ms)",17552822279800,4
0,10,154,"Simulated Job (3ms)",17552837416300,5
0,10,178,"Simulated Job (18ms)",17552837420300,4
0,10,178,"Simulated Job (18ms)",17552869545500,5
0,10,,"worker_sleeping",17552869562700,2
0,10,,"worker_awake",17552901204400,3
0,10,,"worker_exited",17552901212300,1
0,11,,"worker_started",17552693547400,0
0,11,11,"Simulated Job (14ms)",17552693552300,4
0,11,11,"Simulated Job (14ms)",17552713473300,5
0,11,35,"Simulated Job (5ms)",17552713506400,4
0,11,35,"Simulated Job (5ms)",17552729177400,5
0,11,59,"Simulated Job (7ms)",17552729188000,4
0,11,59,"Simulated Job (7ms)",17552744773500,5
0,11,83,"Simulated Job (1ms)",17552744779800,4
0,11,83,"Simulated Job (1ms)",17552760323400,5
0,11,107,"Simulated Job (3ms)",17552760338700,4
0,11,107,"Simulated Job (3ms)",17552776446900,5
0,11,131,"Simulated Job (4ms)",17552776454000,4
0,11,131,"Simulated Job (4ms)",17552792164100,5
0,11,155,"Simulated Job (1ms)",17552792169400,4
0,11,155,"Simulated Job (1ms)",17552807400200,5
0,11,179,"Simulated Job (15ms)",17552807404100,4
0,11,179,"Simulated Job (15ms)",17552837268400,5
0,11,,"worker_sleeping",17552837276100,2
0,11,,"worker_awake",17552901222100,3
0,11,,"worker_exited",17552901227400,1
0,12,,"worker_started",17552693722300,0
0,12,12,"Simulated Job (9ms)",17552693726600,4
0,12,12,"Simulated Job (9ms)",17552713635100,5
0,12,36,"Simulated Job (14ms)",17552713640500,4
0,12,36,"Simulated Job (14ms)",17552729311700,5
0,12,60,"Simulated Job (12ms)",17552729320500,4
0,12,60,"Simulated Job (12ms)",17552744833800,5
0,12,84,"Simulated Job (5ms)",17552744839400,4
0,12,84,"Simulated Job (5ms)",17552760382600,5
