archetype,worker,handle,label,time,type
0,0,,"worker_started",17552914439200,0
0,0,0,"Simulated Job (14ms)",17552914449000,4
0,0,0,"Simulated Job (14ms)",17552932490300,5
0,0,24,"Simulated Job (10ms)",17552932494800,4
0,0,24,"Simulated Job (10ms)",17552947756400,5
0,0,48,"Simulated Job (5ms)",17552947761000,4
0,0,48,"Simulated Job (5ms)",17552963404300,5
0,0,72,"Simulated Job (5ms)",17552963416300,4
0,0,72,"Simulated Job (5ms)",17552978672100,5
0,0,96,"Simulated Job (20ms)",17552978679500,4
0,0,96,"Simulated Job (20ms)",17553009415400,5
0,0,120,"Simulated Job (16ms)",17553009429300,4
0,0,120,"Simulated Job (16ms)",17553040564700,5
0,0,144,"Simulated Job (6ms)",17553040570600,4
0,0,144,"Simulated Job (6ms)",17553056626200,5
0,0,168,"Simulated Job (7ms)",17553056630100,4
0,0,168,"Simulated Job (7ms)",17553071869100,5
0,0,,"worker_sleeping",17553071871500,2
0,0,,"worker_awake",17553102506800,3
0,0,,"worker_exited",17553102510600,1
0,1,,"worker_started",17552914652900,0
0,1,1,"Simulated Job (13ms)",17552914659200,4
0,1,1,"Simulated Job (13ms)",17552932507000,5
0,1,25,"Simulated Job (9ms)",17552932513100,4
0,1,25,"Simulated Job (9ms)",17552947553700,5
0,1,49,"Simulated Job (20ms)",17552947565300,4
0,1,49,"Simulated Job (20ms)",17552978760900,5
0,1,73,"Simulated Job (17ms)",17552978771100,4
0,1,73,"Simulated Job (17ms)",17553009312300,5
0,1,97,"Simulated Job (10ms)",17553009322400,4
0,1,97,"Simulated Job (10ms)",17553025067700,5
0,1,121,"Simulated Job (8ms)",17553025074100,4
0,1,121,"Simulated Job (8ms)",17553040529100,5
0,1,145,"Simulated Job (15ms)",17553040536400,4
0,1,145,"Simulated Job (15ms)",17553056740300,5
0,1,169,"Simulated Job (12ms)",17553056745800,4
0,1,169,"Simulated Job (12ms)",17553071858200,5
0,1,,"worker_sleeping",17553071861300,2
0,1,,"worker_awake",17553102509400,3
0,1,,"worker_exited",17553102515600,1
0,2,,"worker_started",17552914830200,0
0,2,2,"Simulated Job (17ms)",17552914834300,4
0,2,2,"Simulated Job (17ms)",17552947421500,5
0,2,26,"Simulated Job (1ms)",17552947489200,4
0,2,26,"Simulated Job (1ms)",17552963706000,5
0,2,50,"Simulated Job (12ms)",17552963711700,4
