archetype,worker,handle,label,time,type
0,0,,"worker_started",17554140349500,0
0,0,0,"Simulated Job (17ms)",17554140356000,4
0,0,0,"Simulated Job (17ms)",17554160742400,5
0,0,24,"Simulated Job (20ms)",17554160750700,4
0,0,24,"Simulated Job (20ms)",17554191372900,5
0,0,48,"Simulated Job (7ms)",17554191379500,4
0,0,48,"Simulated Job (7ms)",17554206591200,5
0,0,72,"Simulated Job (18ms)",17554206595300,4
0,0,72,"Simulated Job (18ms)",17554237610400,5
0,0,96,"Simulated Job (4ms)",17554237619600,4
0,0,96,"Simulated Job (4ms)",17554252608800,5
0,0,120,"Simulated Job (1ms)",17554252613900,4
0,0,120,"Simulated Job (1ms)",17554267812600,5
0,0,144,"Simulated Job (14ms)",17554267815700,4
0,0,144,"Simulated Job (14ms)",17554282818800,5
0,0,168,"Simulated Job (19ms)",17554282824400,4
0,0,168,"Simulated Job (19ms)",17554313334500,5
0,0,,"worker_sleeping",17554313337100,2
0,0,,"worker_awake",17554344934000,3
0,0,,"worker_exited",17554344938600,1
0,1,,"worker_started",17554140487700,0
0,1,1,"Simulated Job (7ms)",17554140490900,4
0,1,1,"Simulated Job (7ms)",17554160813200,5
0,1,25,"Simulated Job (10ms)",17554160818200,4
0,1,25,"Simulated Job (10ms)",17554176093400,5
0,1,49,"Simulated Job (17ms)",17554176107900,4
0,1,49,"Simulated Job (17ms)",17554206571600,5
0,1,73,"Simulated Job (12ms)",17554206576800,4
0,1,73,"Simulated Job (12ms)",17554221677500,5
0,1,97,"Simulated Job (16ms)",17554221680500,4
0,1,97,"Simulated Job (16ms)",17554252553700,5
0,1,121,"Simulated Job (2ms)",17554252571700,4
0,1,121,"Simulated Job (2ms)",17554267836100,5
0,1,145,"Simulated Job (19ms)",17554267840200,4
0,1,145,"Simulated Job (19ms)",17554298313800,5
0,1,169,"Simulated Job (13ms)",17554298317600,4
0,1,169,"Simulated Job (13ms)",17554313321400,5
0,1,,"worker_sleeping",17554313326300,2
0,1,,"worker_awake",17554344940900,3
0,1,,"worker_exited",17554344960400,1
0,2,,"worker_started",17554140676900,0
0,2,2,"Simulated Job (19ms)",17554140680600,4
0,2,2,"Simulated Job (19ms)",17554176291300,5
0,2,26,"Simulated Job (14ms)",17554176296600,4
0,2,26,"Simulated Job (14ms)",17554191258000,5
0,2,50,"Simulated Job (16ms)",17554191272700,4
0,2,50,"Simulated Job (16ms)",17554221628300,5
0,2,74,"Simulated Job (5ms)",17554221641700,4
0,2,74,"Simulated Job (5ms)",17554237589900,5
0,2,98,"Simulated Job (18ms)",17554237603300,4
0,2,98,"Simulated Job (18ms)",17554267866100,5
0,2,122,"Simulated Job (1ms)",17554267870000,4
0,2,122,"Simulated Job (1ms)",17554282593600,5
0,2,146,"Simulated Job (18ms)",17554282603100,4
0,2,146,"Simulated Job (18ms)",17554313267100,5
0,2,170,"Simulated Job (17ms)",17554313273800,4
0,2,170,"Simulated Job (17ms)",17554345444400,5
0,2,,"worker_exited",17554345452100,1
0,3,,"worker_started",17554140815500,0
0,3,3,"Simulated Job (20ms)",17554140818800,4
0,3,3,"Simulated Job (20ms)",17554176393900,5
0,3,27,"Simulated Job (16ms)",17554176398200,4
0,3,27,"Simulated Job (16ms)",17554206523400,5
0,3,51,"Simulated Job (1ms)",17554206532500,4
0,3,51,"Simulated Job (1ms)",17554221555500,5
0,3,75,"Simulated Job (13ms)",17554221561600,4
0,3,75,"Simulated Job (13ms)",17554237886400,5
0,3,99,"Simulated Job (11ms)",17554237890200,4
0,3,99,"Simulated Job (11ms)",17554252725400,5
0,3,123,"Simulated Job (12ms)",17554252728800,4
0,3,123,"Simulated Job (12ms)",17554267826100,5
0,3,147,"Simulated Job (12ms)",17554267832100,4
0,3,147,"Simulated Job (12ms)",17554282622400,5
0,3,171,"Simulated Job (6ms)",17554282632100,4
0,3,171,"Simulated Job (6ms)",17554298278900,5
0,3,,"worker_sleeping",17554298283600,2
0,3,,"worker_awake",17554344938600,3
0,3,,"worker_exited",17554344956600,1
0,4,,"worker_started",17554140983000,0
0,4,4,"Simulated Job (14ms)",17554140988200,4
0,4,4,"Simulated Job (14ms)",17554160674700,5
0,4,28,"Simulated Job (6ms)",17554160693600,4
0,4,28,"Simulated Job (6ms)",17554176328100,5
0,4,52,"Simulated Job (20ms)",17554176334800,4
0,4,52,"Simulated Job (20ms)",17554206440400,5
0,4,76,"Simulated Job (7ms)",17554206453000,4
0,4,76,"Simulated Job (7ms)",17554221723400,5
0,4,100,"Simulated Job (14ms)",17554221726700,4
0,4,100,"Simulated Job (14ms)",17554237733500,5
0,4,124,"Simulated Job (3ms)",17554237741100,4
0,4,124,"Simulated Job (3ms)",17554252556400,5
0,4,148,"Simulated Job (3ms)",17554252570000,4
0,4,148,"Simulated Job (3ms)",17554267651900,5
0,4,172,"Simulated Job (10ms)",17554267660500,4
0,4,172,"Simulated Job (10ms)",17554282646000,5
0,4,,"worker_sleeping",17554282655700,2
0,4,,"worker_awake",17554344981600,3
0,4,,"worker_exited",17554344991600,1
0,5,,"worker_started",17554141141500,0
0,5,5,"Simulated Job (13ms)",17554141149500,4
0,5,5,"Simulated Job (13ms)",17554160694900,5
0,5,29,"Simulated Job (6ms)",17554160702700,4
0,5,29,"Simulated Job (6ms)",17554176195100,5
0,5,53,"Simulated Job (17ms)",17554176200600,4
0,5,53,"Simulated Job (17ms)",17554206424200,5
0,5,77,"Simulated Job (2ms)",17554206434700,4
0,5,77,"Simulated Job (2ms)",17554221444900,5
0,5,101,"Simulated Job (8ms)",17554221455000,4
0,5,101,"Simulated Job (8ms)",17554237854900,5
0,5,125,"Simulated Job (10ms)",17554237862900,4
0,5,125,"Simulated Job (10ms)",17554252696000,5
0,5,149,"Simulated Job (3ms)",17554252701000,4
0,5,149,"Simulated Job (3ms)",17554267801700,5
0,5,173,"Simulated Job (5ms)",17554267804900,4
0,5,173,"Simulated Job (5ms)",17554282657500,5
0,5,,"worker_sleeping",17554282662600,2
0,5,,"worker_awake",17554345013200,3
0,5,,"worker_exited",17554345018300,1
0,6,,"worker_started",17554141326200,0
0,6,6,"Simulated Job (14ms)",17554141331400,4
0,6,6,"Simulated Job (14ms)",17554160863200,5
0,6,30,"Simulated Job (5ms)",17554160866600,4
0,6,30,"Simulated Job (5ms)",17554176235500,5
0,6,54,"Simulated Job (9ms)",17554176273200,4
0,6,54,"Simulated Job (9ms)",17554191294500,5
0,6,78,"Simulated Job (4ms)",17554191304400,4
0,6,78,"Simulated Job (4ms)",17554206375000,5
0,6,102,"Simulated Job (10ms)",17554206384300,4
0,6,102,"Simulated Job (10ms)",17554221601500,5
0,6,126,"Simulated Job (2ms)",17554221606400,4
0,6,126,"Simulated Job (2ms)",17554237537000,5
0,6,150,"Simulated Job (15ms)",17554237547200,4
0,6,150,"Simulated Job (15ms)",17554267857800,5
0,6,174,"Simulated Job (18ms)",17554267860800,4
0,6,174,"Simulated Job (18ms)",17554298238800,5
0,6,,"worker_sleeping",17554298245400,2
0,6,,"worker_awake",17554345015700,3
0,6,,"worker_exited",17554345019600,1
0,7,,"worker_started",17554141482700,0
0,7,7,"Simulated Job (14ms)",17554141486000,4
0,7,7,"Simulated Job (14ms)",17554160753300,5
0,7,31,"Simulated Job (9ms)",17554160757500,4
0,7,31,"Simulated Job (9ms)",17554176182700,5
0,7,55,"Simulated Job (15ms)",17554176190300,4
0,7,55,"Simulated Job (15ms)",17554206463900,5
0,7,79,"Simulated Job (7ms)",17554206475400,4
0,7,79,"Simulated Job (7ms)",17554221644800,5
0,7,103,"Simulated Job (13ms)",17554221647900,4
0,7,103,"Simulated Job (13ms)",17554237754900,5
0,7,127,"Simulated Job (13ms)",17554237763500,4
0,7,127,"Simulated Job (13ms)",17554252742700,5
0,7,151,"Simulated Job (1ms)",17554252748900,4
0,7,151,"Simulated Job (1ms)",17554267791000,5
0,7,175,"Simulated Job (19ms)",17554267794200,4
0,7,175,"Simulated Job (19ms)",17554298254700,5
0,7,,"worker_sleeping",17554298261600,2
0,7,,"worker_awake",17554345018300,3
0,7,,"worker_exited",17554345022800,1
0,8,,"worker_started",17554141635300,0
0,8,8,"Simulated Job (16ms)",17554141638400,4
0,8,8,"Simulated Job (16ms)",17554160824100,5
0,8,32,"Simulated Job (7ms)",17554160828100,4
0,8,32,"Simulated Job (7ms)",17554176211400,5
0,8,56,"Simulated Job (13ms)",17554176221900,4
0,8,56,"Simulated Job (13ms)",17554191285300,5
0,8,80,"Simulated Job (17ms)",17554191296100,4
0,8,80,"Simulated Job (17ms)",17554221512800,5
0,8,104,"Simulated Job (9ms)",17554221521600,4
0,8,104,"Simulated Job (9ms)",17554237636200,5
0,8,128,"Simulated Job (17ms)",17554237645500,4
0,8,128,"Simulated Job (17ms)",17554267672700,5
0,8,152,"Simulated Job (19ms)",17554267680300,4
0,8,152,"Simulated Job (19ms)",17554298293800,5
0,8,176,"Simulated Job (1ms)",17554298299900,4
0,8,176,"Simulated Job (1ms)",17554313286400,5
0,8,,"worker_sleeping",17554313295000,2
0,8,,"worker_awake",17554345026000,3
0,8,,"worker_exited",17554345031600,1
0,9,,"worker_started",17554141795400,0
0,9,9,"Simulated Job (19ms)",17554141800700,4
0,9,9,"Simulated Job (19ms)",17554176245900,5
0,9,33,"Simulated Job (8ms)",17554176254300,4
0,9,33,"Simulated Job (8ms)",17554191422600,5
0,9,57,"Simulated Job (2ms)",17554191428700,4
0,9,57,"Simulated Job (2ms)",17554206455600,5
0,9,81,"Simulated Job (9ms)",17554206466400,4
0,9,81,"Simulated Job (9ms)",17554221666400,5
0,9,105,"Simulated Job (13ms)",17554221669600,4
0,9,105,"Simulated Job (13ms)",17554237856000,5
0,9,129,"Simulated Job (11ms)",17554237865000,4
0,9,129,"Simulated Job (11ms)",17554252652300,5
0,9,153,"Simulated Job (11ms)",17554252658100,4
0,9,153,"Simulated Job (11ms)",17554267598800,5
0,9,177,"Simulated Job (8ms)",17554267611900,4
0,9,177,"Simulated Job (8ms)",17554282666700,5
0,9,,"worker_sleeping",17554282672700,2
0,9,,"worker_awake",17554345031200,3
0,9,,"worker_exited",17554345036000,1
0,10,,"worker_started",17554141943300,0
0,10,10,"Simulated Job (11ms)",17554141948100,4
0,10,10,"Simulated Job (11ms)",17554160834600,5
0,10,34,"Simulated Job (5ms)",17554160837900,4
0,10,34,"Simulated Job (5ms)",17554176381600,5
0,10,58,"Simulated Job (17ms)",17554176388000,4
0,10,58,"Simulated Job (17ms)",17554206486300,5
0,10,82,"Simulated Job (11ms)",17554206517600,4
0,10,82,"Simulated Job (11ms)",17554221544300,5
0,10,106,"Simulated Job (11ms)",17554221552500,4
0,10,106,"Simulated Job (11ms)",17554237900700,5
0,10,130,"Simulated Job (5ms)",17554237903900,4
0,10,130,"Simulated Job (5ms)",17554252650700,5
0,10,154,"Simulated Job (3ms)",17554252658600,4
0,10,154,"Simulated Job (3ms)",17554267849300,5
0,10,178,"Simulated Job (13ms)",17554267853600,4
0,10,178,"Simulated Job (13ms)",17554282682400,5
0,10,,"worker_sleeping",17554282687200,2
0,10,,"worker_awake",17554345035500,3
0,10,,"worker_exited",17554345041100,1
0,11,,"worker_started",17554142075000,0
0,11,11,"Simulated Job (11ms)",17554142077900,4
0,11,11,"Simulated Job (11ms)",17554160687600,5
0,11,35,"Simulated Job (8ms)",17554160696500,4
0,11,35,"Simulated Job (8ms)",17554176310500,5
0,11,59,"Simulated Job (18ms)",17554176319400,4
0,11,59,"Simulated Job (18ms)",17554206583100,5
0,11,83,"Simulated Job (5ms)",17554206587900,4
0,11,83,"Simulated Job (5ms)",17554221712700,5
0,11,107,"Simulated Job (16ms)",17554221716400,4
0,11,107,"Simulated Job (16ms)",17554252515800,5
0,11,131,"Simulated Job (5ms)",17554252525700,4
0,11,131,"Simulated Job (5ms)",17554267703100,5
0,11,155,"Simulated Job (20ms)",17554267711300,4
0,11,155,"Simulated Job (20ms)",17554298272100,5
0,11,179,"Simulated Job (11ms)",17554298284200,4
0,11,179,"Simulated Job (11ms)",17554313316700,5
0,11,,"worker_sleeping",17554313323800,2
0,11,,"worker_awake",17554345046100,3
0,11,,"worker_exited",17554345051600,1
0,12,,"worker_started",17554142228500,0
0,12,12,"Simulated Job (13ms)",17554142232500,4
0,12,12,"Simulated Job (13ms)",17554160720500,5
0,12,36,"Simulated Job (6ms)",17554160728000,4
0,12,36,"Simulated Job (6ms)",17554176274900,5
0,12,60,"Simulated Job (8ms)",17554176286600,4
0,12,60,"Simulated Job (8ms)",17554191263100,5
0,12,84,"Simulated Job (10ms)",17554191278600,4
0,12,84,"Simulated Job (10ms)",17554206512400,5
0,12,108,"Simulated Job (12ms)",17554206518400,4
0,12,108,"Simulated Job (12ms)",17554221591700,5
0,12,132,"Simulated Job (2ms)",17554221596800,4
0,12,132,"Simulated Job (2ms)",17554237800100,5
0,12,156,"Simulated Job (11ms)",17554237815200,4
0,12,156,"Simulated Job (11ms)",17554252592200,5
0,12,180,"Simulated Job (18ms)",17554252605100,4
0,12,180,"Simulated Job (18ms)",17554282856200,5
0,12,,"worker_sleeping",17554282858700,2
0,12,,"worker_awake",17554345069200,3
0,12,,"worker_exited",17554345070900,1
0,13,,"worker_started",17554142372100,0
0,13,13,"Simulated Job (5ms)",17554142375300,4
0,13,13,"Simulated Job (5ms)",17554160845900,5
0,13,37,"Simulated Job (20ms)",17554160850000,4
0,13,37,"Simulated Job (20ms)",17554191355200,5
0,13,61,"Simulated Job (4ms)",17554191361700,4
0,13,61,"Simulated Job (4ms)",17554206358900,5
0,13,85,"Simulated Job (2ms)",17554206372000,4
0,13,85,"Simulated Job (2ms)",17554221483100,5
0,13,109,"Simulated Job (1ms)",17554221494300,4
0,13,109,"Simulated Job (1ms)",17554237646400,5
0,13,133,"Simulated Job (6ms)",17554237655300,4
0,13,133,"Simulated Job (6ms)",17554252617500,5
0,13,157,"Simulated Job (14ms)",17554252622300,4
0,13,157,"Simulated Job (14ms)",17554267783400,5
0,13,181,"Simulated Job (13ms)",17554267787900,4
0,13,181,"Simulated Job (13ms)",17554282737800,5
0,13,,"worker_sleeping",17554282741000,2
0,13,,"worker_awake",17554345050300,3
0,13,,"worker_exited",17554345055900,1
0,14,,"worker_started",17554142524200,0
0,14,14,"Simulated Job (7ms)",17554142527400,4
0,14,14,"Simulated Job (7ms)",17554160778400,5
0,14,38,"Simulated Job (6ms)",17554160783300,4
0,14,38,"Simulated Job (6ms)",17554176151100,5
0,14,62,"Simulated Job (7ms)",17554176168100,4
0,14,62,"Simulated Job (7ms)",17554191382500,5
0,14,86,"Simulated Job (16ms)",17554191386700,4
0,14,86,"Simulated Job (16ms)",17554221470100,5
0,14,110,"Simulated Job (3ms)",17554221481200,4
0,14,110,"Simulated Job (3ms)",17554237946500,5
0,14,134,"Simulated Job (15ms)",17554237951700,4
0,14,134,"Simulated Job (15ms)",17554267762600,5
0,14,158,"Simulated Job (4ms)",17554267774700,4
0,14,158,"Simulated Job (4ms)",17554282845400,5
0,14,182,"Simulated Job (5ms)",17554282850900,4
0,14,182,"Simulated Job (5ms)",17554298227100,5
0,14,,"worker_sleeping",17554298236100,2
0,14,,"worker_awake",17554345056000,3
0,14,,"worker_exited",17554345062700,1
0,15,,"worker_started",17554142661000,0
0,15,15,"Simulated Job (8ms)",17554142664600,4
0,15,15,"Simulated Job (8ms)",17554160855300,5
0,15,39,"Simulated Job (18ms)",17554160859000,4
0,15,39,"Simulated Job (18ms)",17554191206600,5
0,15,63,"Simulated Job (10ms)",17554191222700,4
0,15,63,"Simulated Job (10ms)",17554206536800,5
0,15,87,"Simulated Job (1ms)",17554206542200,4
0,15,87,"Simulated Job (1ms)",17554221500800,5
0,15,111,"Simulated Job (15ms)",17554221509200,4
0,15,111,"Simulated Job (15ms)",17554237717800,5
0,15,135,"Simulated Job (17ms)",17554237726200,4
0,15,135,"Simulated Job (17ms)",17554267736400,5
0,15,159,"Simulated Job (17ms)",17554267740400,4
0,15,159,"Simulated Job (17ms)",17554298306400,5
0,15,183,"Simulated Job (12ms)",17554298310900,4
0,15,183,"Simulated Job (12ms)",17554313348300,5
0,15,,"worker_sleeping",17554313352300,2
0,15,,"worker_awake",17554345047700,3
0,15,,"worker_exited",17554345059400,1
0,16,,"worker_started",17554142798200,0
0,16,16,"Simulated Job (13ms)",17554142801200,4
0,16,16,"Simulated Job (13ms)",17554160789900,5
0,16,40,"Simulated Job (20ms)",17554160793600,4
0,16,40,"Simulated Job (20ms)",17554191429300,5
0,16,64,"Simulated Job (5ms)",17554191433100,4
0,16,64,"Simulated Job (5ms)",17554206389100,5
0,16,88,"Simulated Job (3ms)",17554206405600,4
0,16,88,"Simulated Job (3ms)",17554221532000,5
0,16,112,"Simulated Job (10ms)",17554221541400,4
0,16,112,"Simulated Job (10ms)",17554237871200,5
0,16,136,"Simulated Job (12ms)",17554237875000,4
0,16,136,"Simulated Job (12ms)",17554252750800,5
0,16,160,"Simulated Job (13ms)",17554252753900,4
0,16,160,"Simulated Job (13ms)",17554267724500,5
0,16,184,"Simulated Job (6ms)",17554267731100,4
0,16,184,"Simulated Job (6ms)",17554282790300,5
0,16,,"worker_sleeping",17554282794400,2
0,16,,"worker_awake",17554345076100,3
0,16,,"worker_exited",17554345290000,1
0,17,,"worker_started",17554142952600,0
0,17,17,"Simulated Job (6ms)",17554142959600,4
0,17,17,"Simulated Job (6ms)",17554160709300,5
0,17,41,"Simulated Job (19ms)",17554160716900,4
0,17,41,"Simulated Job (19ms)",17554191320000,5
0,17,65,"Simulated Job (9ms)",17554191329900,4
0,17,65,"Simulated Job (9ms)",17554206323100,5
0,17,89,"Simulated Job (17ms)",17554206347000,4
0,17,89,"Simulated Job (17ms)",17554237783500,5
0,17,113,"Simulated Job (7ms)",17554237788800,4
0,17,113,"Simulated Job (7ms)",17554252671300,5
0,17,137,"Simulated Job (12ms)",17554252676900,4
0,17,137,"Simulated Job (12ms)",17554267627600,5
0,17,161,"Simulated Job (18ms)",17554267643000,4
0,17,161,"Simulated Job (18ms)",17554298329000,5
0,17,185,"Simulated Job (20ms)",17554298333400,4
0,17,185,"Simulated Job (20ms)",17554329377200,5
0,17,,"worker_sleeping",17554329381600,2
0,17,,"worker_awake",17554345294800,3
0,17,,"worker_exited",17554345351300,1
0,18,,"worker_started",17554143085600,0
0,18,18,"Simulated Job (4ms)",17554143089400,4
0,18,18,"Simulated Job (4ms)",17554160621400,5
0,18,42,"Simulated Job (19ms)",17554160632900,4
0,18,42,"Simulated Job (19ms)",17554191399700,5
0,18,66,"Simulated Job (16ms)",17554191406600,4
0,18,66,"Simulated Job (16ms)",17554221575000,5
0,18,90,"Simulated Job (7ms)",17554221584600,4
0,18,90,"Simulated Job (7ms)",17554237571900,5
0,18,114,"Simulated Job (9ms)",17554237589600,4
0,18,114,"Simulated Job (9ms)",17554252705100,5
0,18,138,"Simulated Job (2ms)",17554252708300,4
0,18,138,"Simulated Job (2ms)",17554267679300,5
0,18,162,"Simulated Job (4ms)",17554267694800,4
0,18,162,"Simulated Job (4ms)",17554282803000,5
0,18,186,"Simulated Job (16ms)",17554282807300,4
0,18,186,"Simulated Job (16ms)",17554313307900,5
0,18,,"worker_sleeping",17554313316600,2
0,18,,"worker_awake",17554345296700,3
0,18,,"worker_exited",17554345355200,1
0,19,,"worker_started",17554143222600,0
0,19,19,"Simulated Job (6ms)",17554143225500,4
0,19,19,"Simulated Job (6ms)",17554160737600,5
0,19,43,"Simulated Job (10ms)",17554160744300,4
0,19,43,"Simulated Job (10ms)",17554176142100,5
0,19,67,"Simulated Job (1ms)",17554176159200,4
0,19,67,"Simulated Job (1ms)",17554191344200,5
0,19,91,"Simulated Job (7ms)",17554191351600,4
