archetype,worker,handle,label,time,type
0,0,,"worker_started",17552284465400,0
0,0,0,"Simulated Job (6ms)",17552284470900,4
0,0,0,"Simulated Job (6ms)",17552306508700,5
0,0,24,"Simulated Job (12ms)",17552306530400,4
0,0,24,"Simulated Job (12ms)",17552321682400,5
0,0,48,"Simulated Job (20ms)",17552321695700,4
0,0,48,"Simulated Job (20ms)",17552353353400,5
0,0,72,"Simulated Job (5ms)",17552353364000,4
0,0,72,"Simulated Job (5ms)",17552369011900,5
0,0,96,"Simulated Job (3ms)",17552369019900,4
0,0,96,"Simulated Job (3ms)",17552385016800,5
0,0,120,"Simulated Job (6ms)",17552385026100,4
0,0,120,"Simulated Job (6ms)",17552400734800,5
0,0,144,"Simulated Job (6ms)",17552400738600,4
0,0,144,"Simulated Job (6ms)",17552416193700,5
0,0,168,"Simulated Job (10ms)",17552416202400,4
0,0,168,"Simulated Job (10ms)",17552431742500,5
0,0,,"worker_sleeping",17552431746900,2
0,0,,"worker_awake",17552478923400,3
0,0,,"worker_exited",17552478926200,1
0,1,,"worker_started",17552284666300,0
0,1,1,"Simulated Job (17ms)",17552284671700,4
0,1,1,"Simulated Job (17ms)",17552306614300,5
0,1,25,"Simulated Job (16ms)",17552306620100,4
0,1,25,"Simulated Job (16ms)",17552337881500,5
0,1,49,"Simulated Job (4ms)",17552337888600,4
0,1,49,"Simulated Job (4ms)",17552353429000,5
0,1,73,"Simulated Job (18ms)",17552353433400,4
0,1,73,"Simulated Job (18ms)",17552385091000,5
0,1,97,"Simulated Job (2ms)",17552385105800,4
0,1,97,"Simulated Job (2ms)",17552400615700,5
0,1,121,"Simulated Job (20ms)",17552400621600,4
0,1,121,"Simulated Job (20ms)",17552431727700,5
0,1,145,"Simulated Job (19ms)",17552431733100,4
0,1,145,"Simulated Job (19ms)",17552463316200,5
0,1,169,"Simulated Job (10ms)",17552463324500,4
0,1,169,"Simulated Job (10ms)",17552479017500,5
0,1,,"worker_exited",17552479047100,1
0,2,,"worker_started",17552284834300,0
0,2,2,"Simulated Job (11ms)",17552284838700,4
0,2,2,"Simulated Job (11ms)",17552306525900,5
0,2,26,"Simulated Job (8ms)",17552306548000,4
0,2,26,"Simulated Job (8ms)",17552321762300,5
0,2,50,"Simulated Job (2ms)",17552321769800,4
0,2,50,"Simulated Job (2ms)",17552337917200,5
0,2,74,"Simulated Job (20ms)",17552337922600,4
0,2,74,"Simulated Job (20ms)",17552369240400,5
0,2,98,"Simulated Job (20ms)",17552369246900,4
0,2,98,"Simulated Job (20ms)",17552400725400,5
0,2,122,"Simulated Job (14ms)",17552400730600,4
0,2,122,"Simulated Job (14ms)",17552416332600,5
0,2,146,"Simulated Job (11ms)",17552416336900,4
0,2,146,"Simulated Job (11ms)",17552431748600,5
0,2,170,"Simulated Job (7ms)",17552431755200,4
0,2,170,"Simulated Job (7ms)",17552446744000,5
0,2,,"worker_sleeping",17552446746500,2
0,2,,"worker_awake",17552478931300,3
0,2,,"worker_exited",17552478936300,1
0,3,,"worker_started",17552284989800,0
0,3,3,"Simulated Job (5ms)",17552284993500,4
0,3,3,"Simulated Job (5ms)",17552290544500,5
0,3,27,"Simulated Job (13ms)",17552290558100,4
0,3,27,"Simulated Job (13ms)",17552306568100,5
0,3,51,"Simulated Job (9ms)",17552306578500,4
0,3,51,"Simulated Job (9ms)",17552321807700,5
0,3,75,"Simulated Job (19ms)",17552321813500,4
0,3,75,"Simulated Job (19ms)",17552353480900,5
0,3,99,"Simulated Job (8ms)",17552353483800,4
0,3,99,"Simulated Job (8ms)",17552369225900,5
0,3,123,"Simulated Job (7ms)",17552369232200,4
0,3,123,"Simulated Job (7ms)",17552385261200,5
0,3,147,"Simulated Job (2ms)",17552385264300,4
0,3,147,"Simulated Job (2ms)",17552400625600,5
0,3,171,"Simulated Job (4ms)",17552400629300,4
0,3,171,"Simulated Job (4ms)",17552416285500,5
0,3,,"worker_sleeping",17552416291200,2
0,3,,"worker_awake",17552478934400,3
0,3,,"worker_exited",17552478939000,1
0,4,,"worker_started",17552285185900,0
0,4,4,"Simulated Job (13ms)",17552285191000,4
0,4,4,"Simulated Job (13ms)",17552306775500,5
0,4,28,"Simulated Job (12ms)",17552306781300,4
0,4,28,"Simulated Job (12ms)",17552321725400,5
0,4,52,"Simulated Job (2ms)",17552321732600,4
0,4,52,"Simulated Job (2ms)",17552337771800,5
0,4,76,"Simulated Job (4ms)",17552337781900,4
0,4,76,"Simulated Job (4ms)",17552353341300,5
0,4,100,"Simulated Job (18ms)",17552353345700,4
0,4,100,"Simulated Job (18ms)",17552385177900,5
0,4,124,"Simulated Job (17ms)",17552385183600,4
0,4,124,"Simulated Job (17ms)",17552416086500,5
0,4,148,"Simulated Job (1ms)",17552416095900,4
0,4,148,"Simulated Job (1ms)",17552431694300,5
0,4,172,"Simulated Job (19ms)",17552431700300,4
0,4,172,"Simulated Job (19ms)",17552463283400,5
0,4,,"worker_sleeping",17552463291900,2
0,4,,"worker_awake",17552478935400,3
0,4,,"worker_exited",17552478941700,1
0,5,,"worker_started",17552285357000,0
0,5,5,"Simulated Job (8ms)",17552285362300,4
0,5,5,"Simulated Job (8ms)",17552306471600,5
0,5,29,"Simulated Job (10ms)",17552306482600,4
0,5,29,"Simulated Job (10ms)",17552321787600,5
0,5,53,"Simulated Job (16ms)",17552321792300,4
0,5,53,"Simulated Job (16ms)",17552353469900,5
0,5,77,"Simulated Job (9ms)",17552353473700,4
0,5,77,"Simulated Job (9ms)",17552369130200,5
0,5,101,"Simulated Job (5ms)",17552369139000,4
0,5,101,"Simulated Job (5ms)",17552385187300,5
0,5,125,"Simulated Job (3ms)",17552385190400,4
0,5,125,"Simulated Job (3ms)",17552400754700,5
0,5,149,"Simulated Job (15ms)",17552400758300,4
0,5,149,"Simulated Job (15ms)",17552416121600,5
0,5,173,"Simulated Job (13ms)",17552416132300,4
