archetype,worker,handle,label,time,type
0,0,,"worker_started",17553704306600,0
0,0,0,"Simulated Job (1ms)",17553704314100,4
0,0,0,"Simulated Job (1ms)",17553706390500,5
0,0,24,"Simulated Job (2ms)",17553706396000,4
0,0,24,"Simulated Job (2ms)",17553709377400,5
0,0,48,"Simulated Job (2ms)",17553709426600,4
0,0,48,"Simulated Job (2ms)",17553725109900,5
0,0,72,"Simulated Job (5ms)",17553725121100,4
0,0,72,"Simulated Job (5ms)",17553740606100,5
0,0,96,"Simulated Job (6ms)",17553740611800,4
0,0,96,"Simulated Job (6ms)",17553756245900,5
0,0,120,"Simulated Job (16ms)",17553756249600,4
0,0,120,"Simulated Job (16ms)",17553787298100,5
0,0,144,"Simulated Job (17ms)",17553787304100,4
0,0,144,"Simulated Job (17ms)",17553818276000,5
0,0,168,"Simulated Job (14ms)",17553818297000,4
0,0,168,"Simulated Job (14ms)",17553833360800,5
0,0,,"worker_sleeping",17553833374500,2
0,0,,"worker_awake",17553911258300,3
0,0,,"worker_exited",17553911275400,1
0,1,,"worker_started",17553704520200,0
0,1,1,"Simulated Job (2ms)",17553704526100,4
0,1,1,"Simulated Job (2ms)",17553707431200,5
0,1,25,"Simulated Job (18ms)",17553707438700,4
0,1,25,"Simulated Job (18ms)",17553740737100,5
0,1,49,"Simulated Job (1ms)",17553740742600,4
0,1,49,"Simulated Job (1ms)",17553756212900,5
0,1,73,"Simulated Job (5ms)",17553756220700,4
0,1,73,"Simulated Job (5ms)",17553771794000,5
0,1,97,"Simulated Job (4ms)",17553771797100,4
0,1,97,"Simulated Job (4ms)",17553787378200,5
0,1,121,"Simulated Job (19ms)",17553787383400,4
0,1,121,"Simulated Job (19ms)",17553818271100,5
0,1,145,"Simulated Job (12ms)",17553818288900,4
0,1,145,"Simulated Job (12ms)",17553833313900,5
0,1,169,"Simulated Job (16ms)",17553833322800,4
0,1,169,"Simulated Job (16ms)",17553863943000,5
0,1,,"worker_sleeping",17553863948600,2
0,1,,"worker_awake",17553911243000,3
0,1,,"worker_exited",17553911246900,1
0,2,,"worker_started",17553704683400,0
0,2,2,"Simulated Job (13ms)",17553704687700,4
0,2,2,"Simulated Job (13ms)",17553725209000,5
0,2,26,"Simulated Job (7ms)",17553725213900,4
0,2,26,"Simulated Job (7ms)",17553740720200,5
0,2,50,"Simulated Job (18ms)",17553740727000,4
0,2,50,"Simulated Job (18ms)",17553771689000,5
0,2,74,"Simulated Job (3ms)",17553771694100,4
0,2,74,"Simulated Job (3ms)",17553787141000,5
0,2,98,"Simulated Job (2ms)",17553787147200,4
0,2,98,"Simulated Job (2ms)",17553803189100,5
0,2,122,"Simulated Job (20ms)",17553803198000,4
0,2,122,"Simulated Job (20ms)",17553833455400,5
0,2,146,"Simulated Job (7ms)",17553833461100,4
0,2,146,"Simulated Job (7ms)",17553848642600,5
0,2,170,"Simulated Job (18ms)",17553848651500,4
0,2,170,"Simulated Job (18ms)",17553879615900,5
0,2,,"worker_sleeping",17553879619600,2
0,2,,"worker_awake",17553911321900,3
0,2,,"worker_exited",17553911326600,1
0,3,,"worker_started",17553704861000,0
0,3,3,"Simulated Job (3ms)",17553704866600,4
0,3,3,"Simulated Job (3ms)",17553709446400,5
0,3,27,"Simulated Job (2ms)",17553709458100,4
0,3,27,"Simulated Job (2ms)",17553724881200,5
0,3,51,"Simulated Job (15ms)",17553724897300,4
0,3,51,"Simulated Job (15ms)",17553740560800,5
0,3,75,"Simulated Job (20ms)",17553740572100,4
0,3,75,"Simulated Job (20ms)",17553771741700,5
0,3,99,"Simulated Job (12ms)",17553771748300,4
0,3,99,"Simulated Job (12ms)",17553787353000,5
0,3,123,"Simulated Job (1ms)",17553787362100,4
0,3,123,"Simulated Job (1ms)",17553803308200,5
0,3,147,"Simulated Job (15ms)",17553803311500,4
0,3,147,"Simulated Job (15ms)",17553833425100,5
0,3,171,"Simulated Job (3ms)",17553833428600,4
0,3,171,"Simulated Job (3ms)",17553848569200,5
0,3,,"worker_sleeping",17553848572100,2
0,3,,"worker_awake",17553911258300,3
0,3,,"worker_exited",17553911275900,1
0,4,,"worker_started",17553705010100,0
0,4,4,"Simulated Job (11ms)",17553705016900,4
0,4,4,"Simulated Job (11ms)",17553725041800,5
0,4,28,"Simulated Job (14ms)",17553725047600,4
0,4,28,"Simulated Job (14ms)",17553740576100,5
0,4,52,"Simulated Job (16ms)",17553740585700,4
0,4,52,"Simulated Job (16ms)",17553771786600,5
0,4,76,"Simulated Job (2ms)",17553771791800,4
0,4,76,"Simulated Job (2ms)",17553787410000,5
0,4,100,"Simulated Job (12ms)",17553787415400,4
0,4,100,"Simulated Job (12ms)",17553803298000,5
0,4,124,"Simulated Job (16ms)",17553803303900,4
0,4,124,"Simulated Job (16ms)",17553833508200,5
0,4,148,"Simulated Job (10ms)",17553833522700,4
0,4,148,"Simulated Job (10ms)",17553848595300,5
0,4,172,"Simulated Job (19ms)",17553848598800,4
0,4,172,"Simulated Job (19ms)",17553879603000,5
0,4,,"worker_sleeping",17553879605800,2
0,4,,"worker_awake",17553911264500,3
0,4,,"worker_exited",17553911270100,1
0,5,,"worker_started",17553705158700,0
0,5,5,"Simulated Job (13ms)",17553705166500,4
0,5,5,"Simulated Job (13ms)",17553725127600,5
0,5,29,"Simulated Job (16ms)",17553725132900,4
0,5,29,"Simulated Job (16ms)",17553756138400,5
0,5,53,"Simulated Job (14ms)",17553756147000,4
0,5,53,"Simulated Job (14ms)",17553771577700,5
0,5,77,"Simulated Job (15ms)",17553771592000,4
0,5,77,"Simulated Job (15ms)",17553787237500,5
0,5,101,"Simulated Job (9ms)",17553787246000,4
0,5,101,"Simulated Job (9ms)",17553803365900,5
0,5,125,"Simulated Job (15ms)",17553803368700,4
0,5,125,"Simulated Job (15ms)",17553833466600,5
0,5,149,"Simulated Job (13ms)",17553833470000,4
0,5,149,"Simulated Job (13ms)",17553848585700,5
0,5,173,"Simulated Job (13ms)",17553848592400,4
0,5,173,"Simulated Job (13ms)",17553864022300,5
0,5,,"worker_sleeping",17553864036700,2
0,5,,"worker_awake",17553911259100,3
0,5,,"worker_exited",17553911263100,1
0,6,,"worker_started",17553705339700,0
0,6,6,"Simulated Job (20ms)",17553705343800,4
0,6,6,"Simulated Job (20ms)",17553740762900,5
0,6,30,"Simulated Job (6ms)",17553740766600,4
0,6,30,"Simulated Job (6ms)",17553756169200,5
0,6,54,"Simulated Job (19ms)",17553756178700,4
0,6,54,"Simulated Job (19ms)",17553787333100,5
0,6,78,"Simulated Job (4ms)",17553787338400,4
0,6,78,"Simulated Job (4ms)",17553803376900,5
0,6,102,"Simulated Job (11ms)",17553803380400,4
0,6,102,"Simulated Job (11ms)",17553818420900,5
0,6,126,"Simulated Job (2ms)",17553818429000,4
0,6,126,"Simulated Job (2ms)",17553833373500,5
0,6,150,"Simulated Job (14ms)",17553833383600,4
0,6,150,"Simulated Job (14ms)",17553848664100,5
0,6,174,"Simulated Job (15ms)",17553848667800,4
0,6,174,"Simulated Job (15ms)",17553864035300,5
0,6,,"worker_sleeping",17553864041200,2
0,6,,"worker_awake",17553911270400,3
0,6,,"worker_exited",17553911275400,1
0,7,,"worker_started",17553705498000,0
0,7,7,"Simulated Job (10ms)",17553705501100,4
0,7,7,"Simulated Job (10ms)",17553725169200,5
0,7,31,"Simulated Job (9ms)",17553725174000,4
0,7,31,"Simulated Job (9ms)",17553740677200,5
0,7,55,"Simulated Job (17ms)",17553740684400,4
0,7,55,"Simulated Job (17ms)",17553771680000,5
0,7,79,"Simulated Job (11ms)",17553771687800,4
0,7,79,"Simulated Job (11ms)",17553787205000,5
0,7,103,"Simulated Job (10ms)",17553787212800,4
0,7,103,"Simulated Job (10ms)",17553803256500,5
0,7,127,"Simulated Job (12ms)",17553803264700,4
0,7,127,"Simulated Job (12ms)",17553818513300,5
0,7,151,"Simulated Job (9ms)",17553818517500,4
0,7,151,"Simulated Job (9ms)",17553833533500,5
0,7,175,"Simulated Job (1ms)",17553833537800,4
0,7,175,"Simulated Job (1ms)",17553848654700,5
0,7,,"worker_sleeping",17553848658200,2
0,7,,"worker_awake",17553911269000,3
0,7,,"worker_exited",17553911275400,1
0,8,,"worker_started",17553705644800,0
0,8,8,"Simulated Job (1ms)",17553705647900,4
0,8,8,"Simulated Job (1ms)",17553707417000,5
0,8,32,"Simulated Job (8ms)",17553707422100,4
0,8,32,"Simulated Job (8ms)",17553725074700,5
0,8,56,"Simulated Job (5ms)",17553725081600,4
0,8,56,"Simulated Job (5ms)",17553740636200,5
0,8,80,"Simulated Job (15ms)",17553740643200,4
0,8,80,"Simulated Job (15ms)",17553756289200,5
0,8,104,"Simulated Job (9ms)",17553756293000,4
0,8,104,"Simulated Job (9ms)",17553771622400,5
