archetype,worker,handle,label,_time,type
0,16,16,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(43680 -> 46410)",13804144092900,4
0,16,16,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(43680 -> 46410)",13804880344600,5
0,16,,"worker_sleeping",13804880345400,2
0,16,,"worker_awake",13804883631500,3
0,16,,"worker_exited",13804883632300,1
0,17,,"worker_started",13804144124000,0
0,17,17,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(46410 -> 49140)",13804144125400,4
0,17,17,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(46410 -> 49140)",13804860927000,5
0,17,,"worker_sleeping",13804860927800,2
0,17,,"worker_awake",13804883639500,3
0,17,,"worker_exited",13804883640600,1
0,18,,"worker_started",13804144159400,0
0,18,18,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(49140 -> 51870)",13804144160400,4
0,18,18,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(49140 -> 51870)",13804855201600,5
0,18,,"worker_sleeping",13804855202300,2
0,18,,"worker_awake",13804883643800,3
0,18,,"worker_exited",13804883645300,1
0,19,,"worker_started",13804144201400,0
0,19,19,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(51870 -> 54600)",13804144202400,4
0,19,19,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(51870 -> 54600)",13804849934400,5
0,19,,"worker_sleeping",13804849936100,2
0,19,,"worker_awake",13804883648900,3
0,19,,"worker_exited",13804883650200,1
0,20,,"worker_started",13804144232500,0
0,20,20,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(54600 -> 57330)",13804144233600,4
0,20,20,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(54600 -> 57330)",13804851870700,5
0,20,,"worker_sleeping",13804851871900,2
0,20,,"worker_awake",13804883647000,3
0,20,,"worker_exited",13804883648300,1
0,21,,"worker_started",13804145206800,0
0,21,21,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(57330 -> 60060)",13804145207800,4
0,21,21,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(57330 -> 60060)",13804859240100,5
0,21,,"worker_sleeping",13804859241300,2
0,21,,"worker_awake",13804883654600,3
0,21,,"worker_exited",13804883656300,1
0,22,,"worker_started",13804144256700,0
0,22,22,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(60060 -> 62790)",13804144257900,4
0,22,22,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(60060 -> 62790)",13804853430600,5
0,22,,"worker_sleeping",13804853431700,2
0,22,,"worker_awake",13804883662300,3
0,22,,"worker_exited",13804883663700,1
0,23,,"worker_started",13804145168600,0
0,23,23,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(62790 -> 65520)",13804145169600,4
0,23,23,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(62790 -> 65520)",13804842474800,5
0,23,,"worker_sleeping",13804842477200,2
0,23,,"worker_awake",13804883660700,3
0,23,,"worker_exited",13804883662000,1
